name,strasse,link,lat,long
Babette Marx,Seelbergstraße 7,http://www.stolpersteine-cannstatt.de/node/36,48.80303,9.218169999999999
Walter Marx,Gerberstr.  31,http://www.stolpersteine-stuttgart.de/index.php?docid=904&mid=66,48.7702248,9.174425399999999
Adolf Maybach,Freiligrathstraße 9,http://www.stolpersteine-cannstatt.de/node/164,48.8062,9.228
Else Mayer,Blumenstr. 2,http://www.stolpersteine-stuttgart.de/index.php?docid=881&mid=66,48.802820,9.082533
Ferdinand Mayer,Emser Straße 16,http://www.stolpersteine-cannstatt.de/node/140,48.80377,9.22354
Georg Mayer,Hölderlinstr. 35,http://www.stolpersteine-stuttgart.de/index.php?docid=278&mid=66,48.7846132,9.1614772
Hermann Mayer,Helfergasse 10,,48.8055938,9.21567
Hermine Mayer,Arminstr. 38,http://www.stolpersteine-stuttgart.de/index.php?docid=51&mid=66,48.76450999999999,9.16437
Klara Mayer,Lindenspürstr. 30,http://www.stolpersteine-stuttgart.de/index.php?docid=255&mid=66,48.77784,9.15934
Kornelia Mayer,Seestr. 112,http://www.stolpersteine-stuttgart.de/index.php?docid=388&mid=66,48.7883,9.164539999999999
Lucie Mayer,Seestr. 112,http://www.stolpersteine-stuttgart.de/index.php?docid=388&mid=66,48.7883,9.164539999999999
Max Mayer,Tübinger Str. 70,http://www.stolpersteine-stuttgart.de/index.php?docid=333&mid=66,48.7665622,9.1694253
Paul Mayer,Lindenspürstr. 30,http://www.stolpersteine-stuttgart.de/index.php?docid=255&mid=66,48.77784,9.15934
Rosalie Mayer,Hölderlinstr. 35,http://www.stolpersteine-stuttgart.de/index.php?docid=278&mid=66,48.7846132,9.1614772
Sigmund Mayer,Blumenstr. 2,http://www.stolpersteine-stuttgart.de/index.php?docid=881&mid=66,48.802820,9.082533
Sofie Mayer,Tübinger Str. 70,http://www.stolpersteine-stuttgart.de/index.php?docid=333&mid=66,48.7665622,9.1694253
Susanne  Mayer,Emser Straße 16,http://www.stolpersteine-cannstatt.de/node/140,48.80377,9.22354
Otto Mebert,Hagbergstr. 31,,48.7818761,9.2182534
Elsa Megerle,Hohewartstr. 26,,48.80784,9.15416
Wilhelm Merk,Bachstr. 22,,48.7313953,9.106511099999999
Alfred Karl Mertz,Duisburger Str. 46,http://www.stolpersteine-cannstatt.de/node/149,48.8091326,9.213663799999999
Abraham Metzger,Hauptstätterstr. 132,http://www.stolpersteine-stuttgart.de/index.php?docid=308&mid=66,48.76636,9.170639999999999
Berta Metzger,Hauptstätterstr. 132,http://www.stolpersteine-stuttgart.de/index.php?docid=308&mid=66,48.76636,9.170639999999999
Gerda Metzger,Türlenstr. 22,http://www.stolpersteine-stuttgart.de/index.php?docid=820&mid=66,48.7916,9.17895
Fritz-Jacob Meyer,Arminstr. 15,http://www.stolpersteine-stuttgart.de/index.php?docid=743&mid=66,48.76473,9.166559999999999
Gertrud-Dina Meyer,Arminstr. 15,http://www.stolpersteine-stuttgart.de/index.php?docid=743&mid=66,48.76473,9.166559999999999
Ilse-Sophie Meyer,Arminstr. 15,http://www.stolpersteine-stuttgart.de/index.php?docid=743&mid=66,48.76473,9.166559999999999
Lore-Mina Meyer,Arminstr. 15,http://www.stolpersteine-stuttgart.de/index.php?docid=743&mid=66,48.76473,9.166559999999999
Senta Meyer,Arminstr. 15,http://www.stolpersteine-stuttgart.de/index.php?docid=743&mid=66,48.76473,9.166559999999999
Siegfried Michelbacher,Hauptstätterstr. 92,http://www.stolpersteine-stuttgart.de/index.php?docid=792&mid=66,48.7687909,9.1733611
Karl Albert Motzer,Kornwestheimer Str. 52,,48.84912,9.16136
Marie Regina Freifrau von Mühlen,Gänsheidestr. 51,,48.7724339,9.195088
Adolf Fritz Müller,Kapfenburgstraße 23,,48.8060594,9.1558695
Karl Munder,Badstr. 60,http://www.stolpersteine-cannstatt.de/node/126,48.80571339999999,9.2126582
Willy Mundinger,Niedernauer Str. 12,http://www.stolpersteine-cannstatt.de/node/190,48.8113713,9.2225856
Bernhard Muniches,Liststr. 3,http://www.stolpersteine-stuttgart.de/index.php?docid=488&mid=66,48.72849,9.127469999999999
Klara Muniches,Liststr. 3,http://www.stolpersteine-stuttgart.de/index.php?docid=488&mid=66,48.72849,9.127469999999999
Rudolf Muniches,Liststr. 3,http://www.stolpersteine-stuttgart.de/index.php?docid=488&mid=66,48.72849,9.127469999999999
Martha Münzesheimer,Wiederholdstr. 20,http://www.stolpersteine-stuttgart.de/index.php?docid=641&mid=66,48.78698,9.168429999999999
Emil Nachmann,Albert-Schäffle-Str. 105,http://www.stolpersteine-stuttgart.de/index.php?docid=543&mid=66,48.76936,9.198839999999999
Hannchen Nachmann,Albert-Schäffle-Str. 105,http://www.stolpersteine-stuttgart.de/index.php?docid=543&mid=66,48.76936,9.198839999999999
Hermine Nachmann,Traubergstr. 15,,48.7710738,9.1977501
